objective_id,assessment_objective,control_title,family,machine_reportable,referent_class,authority_source,feed_types,rationale,prior_call,change_note,owner_comments
03.03.01_obj.a,"audit logs needed (i.e., event types to be logged) to enable the monitoring, analysis, investigation, and reporting of unlawful or unauthorized system activity are specified.","Create and retain system audit logs and records to the extent needed to enable the monitoring, analysis, investigation, and reporting of unlawful or unauthorized system activity.",AU,yes,DoD ODP,ODP,Compliance scan|Host config read,Audit policy state compared to the 13-category ODP event list. Owner's note: this asks whether event types are identified - DoW has identified the NIST checklist repository; the specification act is already performed.,,Authority recorded: ODP fixes 13-category event list. | V8 AUDIT: KEPT: 13-category ODP event list; audit policy compares. Strongest AU row.,
03.03.01_obj.b,"the content of audit records needed to support monitoring, analysis, investigation, and reporting of unlawful or unauthorized system activity is defined.","Create and retain system audit logs and records to the extent needed to enable the monitoring, analysis, investigation, and reporting of unlawful or unauthorized system activity.",AU,yes,NCP checklist repository,NCP-designated,Host config read,"Record content is emitted and readable from the log platform. Whether content is *defined* anywhere is a floor question (authority column), not an emission question - per scoping decision, disposition keys to emission.",yes,FLOOR RULE: record-content definition has no confirmed Department value; customer-defined content is machine-checkable against a declared value only. Promote to yes if April 2025 memo fixes content requirements. || V8.5: promoted; record content derivable from designated audit-content list; feed corrected SIEM->host config read,
03.03.01_obj.c,audit records are created (generated).,"Create and retain system audit logs and records to the extent needed to enable the monitoring, analysis, investigation, and reporting of unlawful or unauthorized system activity.",AU,yes,NCP checklist repository (inherited),,Host config read|SIEM / log query,Generation is directly observable: audit policy enabled at host; ingest confirms records arriving. Owner's note: SIEM feed-ingest export supports this.,,,
03.03.01_obj.d,"audit records, once created, contain the defined content.","Create and retain system audit logs and records to the extent needed to enable the monitoring, analysis, investigation, and reporting of unlawful or unauthorized system activity.",AU,no,,,SIEM / log query,Field presence in emitted records is queryable against the defined content.,yes,"V8.7: yes->no. Owner ruling (SIEM tiering). Sole sufficient feed is log query, a collector outside the declared reference architecture; SIEM was excluded from the reference baseline at v8.5 and that exclusion is now applied consistently. Demoted to 'no' rather than 'partial' to match the v8.5 AU/IR treatment on identical facts. feed_types retained as a record of where emission would originate.",
03.03.01_obj.e,retention requirements for audit records are defined.,"Create and retain system audit logs and records to the extent needed to enable the monitoring, analysis, investigation, and reporting of unlawful or unauthorized system activity.",AU,no,,,,"Retention configuration is emitted (workspace/platform retention setting). Definition floor absent - flagged in authority, not in disposition.",yes,"FLOOR RULE: retention period is a scalar definition; no confirmed Department value in workbook. Customer-declared value => partial. ODP transcription pass decides promotion. || V8.5: retention requirement is a declaration, no emission; log size != retention period; unfloored",
03.03.01_obj.f,audit records are retained as defined.,"Create and retain system audit logs and records to the extent needed to enable the monitoring, analysis, investigation, and reporting of unlawful or unauthorized system activity.",AU,no,,,,Oldest-record age vs configured retention is a query.,yes,V8.5: cannot ascertain retained-in-accordance in-scope; duration measurement is SIEM/archive class (out of scope),
03.03.02_obj.a,the content of the audit records needed to support the ability to uniquely trace users to their actions is defined.,Ensure that the actions of individual system users can be uniquely traced to those users so they can be held accountable for their actions.,AU,partial,,,Host config read,Traceability content (user field presence) is emitted and queryable. Floor question separate.,yes,FLOOR RULE: traceability-content definition unfloored in workbook; customer-declared => partial pending memo verification. || V8.5: off ODP-pending; identity detail emittable but void in definition (no published referent); feed off SIEM,
03.03.02_obj.b,"audit records, once created, contain the defined content.",Ensure that the actions of individual system users can be uniquely traced to those users so they can be held accountable for their actions.,AU,no,,,SIEM / log query,As 03.03.01.d.,yes,"V8.7: yes->no. Owner ruling (SIEM tiering). Sole sufficient feed is log query, a collector outside the declared reference architecture; SIEM was excluded from the reference baseline at v8.5 and that exclusion is now applied consistently. Demoted to 'no' rather than 'partial' to match the v8.5 AU/IR treatment on identical facts. feed_types retained as a record of where emission would originate.",
03.03.03_obj.a,a process for determining when to review logged events is defined.,Review and update logged events.,AU,no,,,,Process definition. No system emission reports that a review process is defined.,,,
03.03.03_obj.b,event types being logged are reviewed in accordance with the defined review process.,Review and update logged events.,AU,no,,,,"Audit-policy change history is emitted; the review act itself is not. Machine shows *that* logged event types changed, not that a review occurred per process.",partial,V8.5: review of logged event types is manual,
